_id,created_at,updated_at,@context,@type,name,url,floorSize.@type,floorSize.value,floorSize.unitCode,address.@type,address.addressLocality,address.addressRegion,address.postalCode,geo.@type,geo.addressCountry,geo.latitude,geo.longitude,geo.postalCode,image,announce_detail.rooms,announce_detail.bead_rooms,announce_detail.bathroom,announce_detail.shower_room,announce_detail.price,announce_detail.price_m2,announce_detail.dpe,announce_detail.ges
6591b9016aea9bf2410bf0ef,2023-12-31 18:54:57.355,2023-12-31 18:54:57.355,https://schema.org,SingleFamilyResidence,appartement 21M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-55772596.html,QuantitativeValue,21.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.71285,7.25387,F-06000,https://lh3.googleusercontent.com/70UIBW50821cuSn4kYZIGwjfgj9TX00-uMLtfLkQkFD8o-gIF0xtjpjdnOSBitNpczcCtK25BNHZ-v5-4M-jjZlm3eR5dBjMNcNuTy4=rj-w350-h264-l80,1,0,1,0,129000,6143,F,F
6591b90e6aea9bf2410bf0f0,2023-12-31 18:55:10.805,2023-12-31 18:55:10.805,https://schema.org,SingleFamilyResidence,appartement 50M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64096666.html,QuantitativeValue,50.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.719868,7.269635,F-06000,https://lh3.googleusercontent.com/Lk07fq_wfYqE2Y7a5u_PqUffd6nl2u0BaOvbn81NP01OsXsZn83n7PB1V88z1Pxt79znZ7QIVNkiPU00Xxm3IJRubOHQa6LnjYuQRA=rj-w350-h264-l80,2,1,0,1,205000,4100,D,B
6591b9126aea9bf2410bf0f1,2023-12-31 18:55:14.786,2023-12-31 18:55:14.786,https://schema.org,SingleFamilyResidence,appartement 27M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64096696.html,QuantitativeValue,27.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.701855,7.257853,F-06000,https://lh3.googleusercontent.com/YPe1H0W7TTX5maaxuZI_9HF48zG7NVc_37CMABwr85-USQeLrDqxlIRfm_GBa9rwiobeRQscfhqVSV08ghK3OjI00_CtezJjWVPU=rj-w350-h264-l80,1,1,0,1,129900,4811,F,E
6591b9166aea9bf2410bf0f2,2023-12-31 18:55:18.625,2023-12-31 18:55:18.625,https://schema.org,SingleFamilyResidence,appartement 21M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-55772596.html,QuantitativeValue,21.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.71285,7.25387,F-06000,https://lh3.googleusercontent.com/70UIBW50821cuSn4kYZIGwjfgj9TX00-uMLtfLkQkFD8o-gIF0xtjpjdnOSBitNpczcCtK25BNHZ-v5-4M-jjZlm3eR5dBjMNcNuTy4=rj-w350-h264-l80,1,0,1,0,129000,6143,F,F
6591b91a6aea9bf2410bf0f3,2023-12-31 18:55:22.613,2023-12-31 18:55:22.613,https://schema.org,SingleFamilyResidence,appartement 50M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64096666.html,QuantitativeValue,50.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.719868,7.269635,F-06000,https://lh3.googleusercontent.com/Lk07fq_wfYqE2Y7a5u_PqUffd6nl2u0BaOvbn81NP01OsXsZn83n7PB1V88z1Pxt79znZ7QIVNkiPU00Xxm3IJRubOHQa6LnjYuQRA=rj-w350-h264-l80,2,1,0,1,205000,4100,D,B
6591b91e6aea9bf2410bf0f4,2023-12-31 18:55:26.501,2023-12-31 18:55:26.501,https://schema.org,SingleFamilyResidence,appartement 27M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64096696.html,QuantitativeValue,27.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.701855,7.257853,F-06000,https://lh3.googleusercontent.com/YPe1H0W7TTX5maaxuZI_9HF48zG7NVc_37CMABwr85-USQeLrDqxlIRfm_GBa9rwiobeRQscfhqVSV08ghK3OjI00_CtezJjWVPU=rj-w350-h264-l80,1,1,0,1,129900,4811,F,E
6591b92e6aea9bf2410bf0f5,2023-12-31 18:55:42.598,2023-12-31 18:55:42.598,https://schema.org,SingleFamilyResidence,appartement 41M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64799500.html,QuantitativeValue,41.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06200,GeoCoordinates,France,43.689503,7.2407193,F-06200,https://lh3.googleusercontent.com/relkC_RJ87DL4QmIV1y-_yaQJ24bpQXm-vvgLrfiuUN9wkaJ9hwggRo_VK54BZjOYzBwp1KgMFFj3ltOFcmS6_jHYn9JN5VdaRnjF-w=rj-w350-h264-l80,2,1,1,0,230000,5610,E,E
6591b93e6aea9bf2410bf0f6,2023-12-31 18:55:58.591,2023-12-31 18:55:58.591,https://schema.org,SingleFamilyResidence,appartement 90.94M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64799502.html,QuantitativeValue,90.94000244140625,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.71306,7.281514,F-06000,https://lh3.googleusercontent.com/x1O3dJ8uUnjZlfcOghDdgWIS-nm-Hes_OHNKPVUZj-85-AYOfQdpSBJxFj2c3dEjBZdIvqmVgbiekx2ERt-5vb5kZjCXTXceVkiFgQ=rj-w350-h264-l80,4,3,1,0,295000,3244,C,D
6591b9436aea9bf2410bf0f7,2023-12-31 18:56:03.046,2023-12-31 18:56:03.046,https://schema.org,SingleFamilyResidence,appartement 99M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64798538.html,QuantitativeValue,99.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.7,7.25,F-06300,https://lh3.googleusercontent.com/rCiSXI080j-mFu1JoAArKaVOboef8mfJXJ6V-g3YgUEwTB7xdnhFcghFBdDRoksmBkCziOzLLl574f1SjSiUa1xcLLjEmMKxne9M=rj-w350-h264-l80,4,3,1,0,520000,5253,D,D
6591b9476aea9bf2410bf0f8,2023-12-31 18:56:07.126,2023-12-31 18:56:07.126,https://schema.org,SingleFamilyResidence,appartement 66.44M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64798532.html,QuantitativeValue,66.44000244140625,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/e2ovPjqUGrlkCWCQEEy8sgKEKrRBB9fIFghoRrWILNvvetOncp5lRZQRVVAfZImHFXAzgrtehNZUD4mlJTxKxiHYT8qKwvmhV71T0Q=rj-w350-h264-l80,4,2,0,1,165000,2483,D,C
6591b94b6aea9bf2410bf0f9,2023-12-31 18:56:11.215,2023-12-31 18:56:11.215,https://schema.org,SingleFamilyResidence,appartement 64.43M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64798536.html,QuantitativeValue,64.43000030517578,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06200,GeoCoordinates,France,43.7,7.25,F-06200,https://lh3.googleusercontent.com/O9Atc1gdpm15lJ-eGrfUAN-NJoCClyYVPR3ZryNUK5NoU6A42a0GSfcM6jpW_aiPCWABs4H9RPyCr7IlYsB0rlLUZTNiFN3dw1bsnw=rj-w350-h264-l80,4,3,0,1,335000,5199,A,A
